ENSPID,UniProtID,MolecularWeight
ENSP00000362592,Q09028,47656.0
ENSP00000483489,Q9BV86,25387.0
ENSP00000248553,P04792,22783.0
ENSP00000480987,P25205,90981.0
ENSP00000353401,P39880,164187.0
ENSP00000341289,P68371,49831.0
ENSP00000305692,P10253,105324.0
ENSP00000483491,Q15070,48520.0
ENSP00000395083,P53367,41738.0
ENSP00000306117,Q9NUU7,53975.0
ENSP00000297562,,
ENSP00000387911,O95453,73451.0
ENSP00000389445,Q14157,114535.0
ENSP00000432083,P11142,70898.0
ENSP00000261889,Q13596,59070.0
ENSP00000378669,A0A2U3TZM8,28887.0
ENSP00000263710,Q7Z460,169451.0
ENSP00000306881,Q15436,86161.0
ENSP00000432660,P23528,18502.0
ENSP00000379691,Q6P996,86707.0
ENSP00000345347,P09429,24894.0
ENSP00000370377,Q5JRX3,117413.0
ENSP00000254799,Q12849,53126.0
ENSP00000262746,Q06830,22110.0
ENSP00000365682,Q04724,83201.0
ENSP00000307940,P13639,95338.0
ENSP00000339566,P16403,21365.0
ENSP00000296930,P06748,32575.0
ENSP00000364361,Q9NYL2,91155.0
ENSP00000360671,P05141,32852.0
ENSP00000215754,P14174,12476.0
ENSP00000373620,P10809,61055.0
ENSP00000225655,P07737,15054.0
ENSP00000308275,Q96DV4,44597.0
ENSP00000346694,P22626,37430.0
ENSP00000429374,P60866,13373.0
ENSP00000324573,Q13045,144751.0
ENSP00000379888,P62241,24205.0
ENSP00000348099,Q9NR12,49845.0
ENSP00000331901,P26641,50119.0
ENSP00000330074,P16401,22580.0
ENSP00000346050,P61247,29945.0
ENSP00000389103,P62750,17695.0
ENSP00000322419,P05387,11665.0
ENSP00000380413,Q96P47,95044.0
ENSP00000446215,P62826,24423.0
ENSP00000379287,P63104,27745.0
ENSP00000270625,P62280,18431.0
ENSP00000233893,P61604,10932.0
ENSP00000300026,P23284,23743.0
ENSP00000464813,P61353,15798.0
ENSP00000309830,P63173,8218.0
ENSP00000472469,P62857,7841.0
ENSP00000362744,P62701,29598.0
ENSP00000428085,P62888,12784.0
ENSP00000403172,Q02878,32728.0
ENSP00000447001,Q07020,21634.0
ENSP00000271638,P31949,11740.0
ENSP00000230050,P25398,14515.0
ENSP00000358327,A0A0A0MRL7,43728.0
ENSP00000293217,Q15067,74424.0
ENSP00000445175,,
ENSP00000385958,P62263,16273.0
ENSP00000346037,P05386,11514.0
ENSP00000259469,P42766,14551.0
ENSP00000360922,O95793,63182.0
ENSP00000278572,P23396,26688.0
ENSP00000292180,Q8NFF5,65266.0
ENSP00000251453,P62249,16445.0
ENSP00000311430,P36578,47697.0
ENSP00000363018,P62906,24831.0
ENSP00000346015,P46776,16561.0
ENSP00000464342,Q9Y3U8,12254.0
ENSP00000405574,Q9BZK7,55595.0
ENSP00000420311,P62829,14865.0
ENSP00000225430,P84098,23466.0
ENSP00000262030,P06576,56560.0
ENSP00000301522,P32119,21892.0
ENSP00000309334,P61313,24146.0
ENSP00000307889,P26373,24261.0
ENSP00000442688,Q6N075,49765.0
ENSP00000449328,P05388,34274.0
ENSP00000426909,P63244,35077.0
ENSP00000262584,P62917,28025.0
ENSP00000255194,O00203,121320.0
ENSP00000324173,P11021,72333.0
ENSP00000339095,,
ENSP00000440005,,
ENSP00000341885,P15880,31324.0
ENSP00000303427,Q29RF7,150830.0
ENSP00000346001,P39023,46109.0
ENSP00000467579,Q969T9,28087.0
ENSP00000412698,Q96T76,113290.0
ENSP00000217426,P23526,47716.0
ENSP00000434412,P50454,46441.0
ENSP00000219252,P19387,31441.0
ENSP00000346088,P35268,14787.0
ENSP00000264710,P61026,22541.0
ENSP00000470972,P39019,16060.0
ENSP00000463784,P61254,17258.0
ENSP00000373713,Q9NTJ5,66967.0
ENSP00000435777,P62277,17222.0
ENSP00000349428,P26599,59633.0
ENSP00000386717,P62899,14463.0
ENSP00000386458,A0A7N4I394,112405.0
ENSP00000261313,P30086,21057.0
ENSP00000273077,Q8N490,42876.0
ENSP00000400467,P32969,21863.0
ENSP00000358548,P01111,21229.0
ENSP00000472985,P46782,22876.0
ENSP00000354739,P30050,17819.0
ENSP00000304592,P49327,273427.0
ENSP00000318646,P62244,14840.0
ENSP00000217182,Q05639,50470.0
ENSP00000264335,P62258,29174.0
ENSP00000379506,P50914,23432.0
ENSP00000258416,O60573,28362.0
ENSP00000359345,P46777,34363.0
ENSP00000377640,P83731,17779.0
ENSP00000357076,P37802,22391.0
ENSP00000369757,P62753,28681.0
ENSP00000416429,P62910,15860.0
ENSP00000363676,P62913,20252.0
ENSP00000361930,P31946,28082.0
ENSP00000482075,A0A087WYT3,19155.0
ENSP00000265333,P21796,30773.0
ENSP00000478310,A0A5F9YFS9,11805.0
ENSP00000346032,P07355,38604.0
ENSP00000379339,P62273,6677.0
ENSP00000359991,P18669,28804.0
ENSP00000375730,P40429,23577.0
ENSP00000318195,P19338,76614.0
ENSP00000349168,P31943,49229.0
ENSP00000310275,O75531,10059.0
ENSP00000351022,P09493,32709.0
ENSP00000264657,P40763,88068.0
ENSP00000353375,P27816,121005.0
ENSP00000381736,P25705,59751.0
ENSP00000221419,P14866,64133.0
ENSP00000325827,O15027,251894.0
ENSP00000363641,P10599,11737.0
ENSP00000252699,O43707,104854.0
ENSP00000322439,P49411,49875.0
ENSP00000297185,P38646,73680.0
ENSP00000001008,Q02790,51805.0
ENSP00000464087,A0A0A0MTR7,591408.0
ENSP00000299300,P78371,57488.0
ENSP00000305556,Q15365,37498.0
ENSP00000397798,,
ENSP00000351646,P31948,62639.0
ENSP00000225972,Q96AG4,34930.0
ENSP00000359225,Q15417,36414.0
ENSP00000357693,Q96FQ6,11801.0
ENSP00000222247,Q02543,20762.0
ENSP00000342026,P30041,25035.0
ENSP00000479606,,
ENSP00000357688,,
ENSP00000419117,,
ENSP00000451080,P84090,12259.0
ENSP00000405573,A0A2U3TZU2,67286.0
ENSP00000327801,P07237,57116.0
ENSP00000358417,A0A2C9F2M7,56112.0
ENSP00000481646,P46783,18898.0
ENSP00000296674,P62266,15808.0
ENSP00000265462,P30044,22086.0
ENSP00000400906,P68036,17862.0
ENSP00000414321,P62847,15423.0
ENSP00000297440,Q86Y56,93521.0
ENSP00000479488,P35232,29804.0
ENSP00000342374,P62316,13527.0
ENSP00000215909,P09382,14716.0
ENSP00000377958,P50991,57924.0
ENSP00000378163,P49207,13293.0
ENSP00000228318,Q00325,40095.0
ENSP00000376056,P24534,24764.0
ENSP00000280326,P48643,59671.0
ENSP00000444856,A0A0A0MTN0,88506.0
ENSP00000296503,P26583,24034.0
ENSP00000242776,O00148,49130.0
ENSP00000346027,P46778,18565.0
ENSP00000271308,P28066,26411.0
ENSP00000352257,P12956,69843.0
ENSP00000359910,O14818,27887.0
ENSP00000263780,Q9UQN3,23907.0
ENSP00000261479,P60900,27399.0
ENSP00000345848,Q92688,28788.0
ENSP00000265062,P51149,23490.0
ENSP00000351108,Q99729,36225.0
ENSP00000418868,P47914,17752.0
ENSP00000286788,P50990,59621.0
ENSP00000295688,P49368,60534.0
ENSP00000350071,Q13033,87209.0
ENSP00000261366,P20700,66408.0
ENSP00000354511,P21964,30037.0
ENSP00000216605,,
ENSP00000449089,O00429,81877.0
ENSP00000236671,P07339,44552.0
ENSP00000044462,P25789,29484.0
ENSP00000283179,A0A1X7SBS1,81795.0
ENSP00000223641,P60468,9974.0
ENSP00000321259,P37837,37540.0
ENSP00000276079,Q15233,54232.0
ENSP00000361471,P00966,46530.0
ENSP00000385385,Q15084,48121.0
ENSP00000419449,P41567,12732.0
ENSP00000300289,P30101,56782.0
ENSP00000296511,P08758,35937.0
ENSP00000457513,P13073,19577.0
ENSP00000342056,O75390,51712.0
ENSP00000002165,Q9BTY2,54067.0
ENSP00000355011,Q12905,43062.0
ENSP00000360034,Q8NC51,44965.0
ENSP00000247461,P27824,67568.0
ENSP00000467466,P62841,17040.0
ENSP00000246069,P60981,18506.0
ENSP00000354522,P11387,90726.0
ENSP00000452909,P46779,15748.0
ENSP00000371267,P27348,27764.0
ENSP00000219169,P61970,14478.0
ENSP00000435370,P62861,14390.0
ENSP00000299767,P14625,92469.0
ENSP00000372155,Q06323,28723.0
ENSP00000362820,P84103,19330.0
ENSP00000466134,K7ELL7,60192.0
ENSP00000382840,A0A2U3TZJ9,73214.0
ENSP00000414982,Q07866,65310.0
ENSP00000263368,P30043,22119.0
ENSP00000361635,P45880,31567.0
ENSP00000355599,Q99598,33112.0
ENSP00000339720,O00483,9370.0
ENSP00000216479,O95433,38274.0
ENSP00000351777,P55072,89322.0
ENSP00000286091,A0A499FI48,73061.0
ENSP00000304229,P49773,13802.0
ENSP00000313199,Q14103,38434.0
ENSP00000263713,Q9HCM4,81856.0
ENSP00000313007,P11940,70671.0
ENSP00000310226,Q9H0U4,22171.0
ENSP00000325905,Q16629,27367.0
ENSP00000298556,P00492,24579.0
ENSP00000272348,P62308,8496.0
ENSP00000336687,Q13185,20811.0
ENSP00000318687,Q92598,96865.0
ENSP00000477781,A0A0B4J2C3,22574.0
ENSP00000371958,P21926,25416.0
ENSP00000333667,P34897,55993.0
ENSP00000275603,P40227,58024.0
ENSP00000349748,P23246,76149.0
ENSP00000256383,P05198,36112.0
ENSP00000227524,Q9UMS4,55181.0
ENSP00000307833,Q8NEZ5,44508.0
ENSP00000361009,Q8TCU6,186203.0
ENSP00000357709,P06703,10180.0
ENSP00000260363,Q02241,110059.0
ENSP00000307786,P99999,11749.0
ENSP00000261735,P30040,28993.0
ENSP00000325376,P52272,77516.0
ENSP00000290158,Q14974,97170.0
ENSP00000418770,Q99497,19891.0
ENSP00000254108,P35637,53426.0
ENSP00000290299,P48047,23277.0
ENSP00000296255,P04843,68569.0
ENSP00000418082,P61513,10275.0
ENSP00000368646,Q13162,30540.0
ENSP00000270142,P00441,15936.0
ENSP00000253024,Q13263,88550.0
ENSP00000216455,P25788,28433.0
ENSP00000379133,Q96GX9,27125.0
ENSP00000338413,P22314,117849.0
ENSP00000379191,P13987,14177.0
ENSP00000363574,P56537,26599.0
ENSP00000346173,P38117,27844.0
ENSP00000386651,Q8NI22,16390.0
ENSP00000405965,P61956,10871.0
ENSP00000216714,P27695,35555.0
ENSP00000217971,O00264,21671.0
ENSP00000354876,P00403,25565.0
ENSP00000236959,P31939,64616.0
ENSP00000268379,P22695,48443.0
ENSP00000370517,Q01813,85596.0
ENSP00000258091,Q99832,59367.0
ENSP00000321584,P12268,55805.0
ENSP00000418695,Q15008,45531.0
ENSP00000303145,P49755,24976.0
ENSP00000261772,P49588,106810.0
ENSP00000417175,O95292,27228.0
ENSP00000258962,Q07955,27745.0
ENSP00000354125,P55884,92482.0
ENSP00000320949,A5YKK6,266939.0
ENSP00000385751,Q7KZI7,87911.0
ENSP00000421592,E9PB61,27558.0
ENSP00000358635,O60506,69603.0
ENSP00000316905,Q9H9B4,35619.0
ENSP00000414359,P25786,29556.0
ENSP00000317334,P17987,60344.0
ENSP00000368458,P12004,28769.0
ENSP00000344504,P07305,20863.0
ENSP00000331897,P48735,50909.0
ENSP00000309415,P09497,25190.0
ENSP00000348056,P63279,18007.0
ENSP00000237530,P04844,69284.0
ENSP00000368959,Q00765,21493.0
ENSP00000307863,P26368,53501.0
ENSP00000328848,P98175,103533.0
ENSP00000397843,Q9Y2S6,7066.0
ENSP00000408025,P09467,36842.0
ENSP00000270776,P52209,53140.0
ENSP00000449270,P61923,20198.0
ENSP00000482841,P29373,15693.0
ENSP00000439012,P07108,10044.0
ENSP00000262193,P20618,26489.0
ENSP00000303366,Q12907,40229.0
ENSP00000376276,Q01130,25476.0
ENSP00000355325,P28074,28480.0
ENSP00000216330,Q00688,25177.0
ENSP00000175506,P08243,64370.0
ENSP00000351273,Q14790,55391.0
ENSP00000386531,Q9NXE4,97810.0
ENSP00000261303,P62191,49185.0
ENSP00000301587,O75947,18491.0
ENSP00000254301,P17931,26152.0
ENSP00000356632,Q9P1F3,9056.0
ENSP00000393316,Q9H3N1,31791.0
ENSP00000215829,P62318,13916.0
ENSP00000300413,P62314,13282.0
ENSP00000356520,Q08211,140958.0
ENSP00000318297,Q9Y265,50228.0
ENSP00000265866,P31942,36926.0
ENSP00000377508,P14923,81745.0
ENSP00000205402,P09622,54177.0
ENSP00000362329,Q15181,32660.0
ENSP00000345957,P63220,9111.0
ENSP00000383949,P55769,14174.0
ENSP00000306362,O75347,12855.0
ENSP00000216218,P50502,41332.0
ENSP00000262306,Q15370,13133.0
ENSP00000305480,P39748,42593.0
ENSP00000481878,P62873,37377.0
ENSP00000391211,P35998,48634.0
ENSP00000377681,Q13283,52164.0
ENSP00000290541,P28070,29204.0
ENSP00000265073,P53999,14395.0
ENSP00000362463,Q04760,20778.0
ENSP00000295685,O15144,34333.0
ENSP00000406162,Q99873,42462.0
ENSP00000481762,O75534,88885.0
ENSP00000313601,Q6P1N0,104062.0
ENSP00000306010,P18085,20511.0
ENSP00000367992,P10768,31463.0
ENSP00000428895,P09669,8781.0
ENSP00000375978,P13010,82705.0
ENSP00000246957,Q12931,80110.0
ENSP00000324804,P30153,65309.0
ENSP00000269321,P52565,23207.0
ENSP00000460871,O76021,54973.0
ENSP00000221801,P22087,33784.0
ENSP00000209875,P45973,22225.0
ENSP00000261622,Q01650,55010.0
ENSP00000356652,Q9HB71,26210.0
ENSP00000359645,P38159,42332.0
ENSP00000478121,Q15369,12473.0
ENSP00000245206,P00505,47518.0
ENSP00000364721,Q15691,29999.0
ENSP00000362334,P49721,22836.0
ENSP00000452762,P13804,35080.0
ENSP00000400591,P62304,10804.0
ENSP00000317159,P08574,35422.0
ENSP00000319664,Q9Y266,38243.0
ENSP00000291568,P04080,11140.0
ENSP00000362688,A0A7P0MRT9,36252.0
ENSP00000203407,P31930,52646.0
ENSP00000350708,P54727,43171.0
ENSP00000401802,P62333,44173.0
ENSP00000217456,Q9HDC9,46480.0
ENSP00000356275,P21291,20567.0
ENSP00000259512,Q9BUN8,28801.0
ENSP00000400433,P52597,45672.0
ENSP00000357189,P51858,26788.0
ENSP00000216410,Q96EK6,20749.0
ENSP00000263168,P52907,32923.0
ENSP00000223136,Q9Y3D6,16938.0
ENSP00000210444,Q9NR45,40308.0
ENSP00000357535,P30084,31387.0
ENSP00000260665,P42704,157905.0
ENSP00000322524,Q9H773,18681.0
ENSP00000290349,P16152,30375.0
ENSP00000481029,P17980,49204.0
ENSP00000262613,O14745,38868.0
ENSP00000445306,P05023,112896.0
ENSP00000216802,Q9UL46,27402.0
ENSP00000286371,P54709,31513.0
ENSP00000329662,Q92522,22487.0
ENSP00000354346,A0A0R4J2E8,94623.0
ENSP00000401010,B1AK88,33781.0
ENSP00000216038,Q9Y3I0,55210.0
ENSP00000367542,P07951,32851.0
ENSP00000357643,P46013,358694.0
ENSP00000302961,P34932,94331.0
ENSP00000298510,P30048,27693.0
ENSP00000319501,O60701,55024.0
ENSP00000284719,Q9NTK5,44744.0
ENSP00000250498,P61803,12497.0
ENSP00000370376,P33316,26563.0
ENSP00000346120,Q9NR30,87344.0
ENSP00000346921,A0A5K1VW67,22090.0
ENSP00000444357,Q96FW1,31284.0
ENSP00000360365,Q9ULC4,20555.0
ENSP00000367220,P61160,44761.0
ENSP00000261712,O00231,47464.0
ENSP00000352097,Q8NFR3,9198.0
ENSP00000306003,P56385,7933.0
ENSP00000308430,O43169,16695.0
ENSP00000384949,P32322,33361.0
ENSP00000418401,Q9Y5M8,29702.0
ENSP00000296370,P25815,10400.0
ENSP00000215567,Q9NZ01,36034.0
ENSP00000269349,,
ENSP00000386636,P05455,46837.0
ENSP00000359539,P17174,46248.0
ENSP00000362339,Q9NR31,22367.0
ENSP00000349142,P36542,32996.0
ENSP00000457733,Q6NUK1,53354.0
ENSP00000358727,P78417,27566.0
ENSP00000254193,P09661,28416.0
ENSP00000431800,O00303,37564.0
ENSP00000360525,P61326,17164.0
ENSP00000466379,O43681,38793.0
ENSP00000303222,Q9Y6C9,33331.0
ENSP00000266735,P62306,9725.0
ENSP00000358840,Q96IX5,6458.0
ENSP00000264265,Q9BS40,25750.0
ENSP00000357801,P60903,11203.0
ENSP00000263238,P61158,47371.0
ENSP00000419851,P49915,76715.0
ENSP00000356811,Q9Y450,75473.0
ENSP00000307288,P33993,81308.0
ENSP00000375857,Q32MZ4,89253.0
ENSP00000305230,P49458,10112.0
ENSP00000173527,Q96CN7,32237.0
ENSP00000442318,Q86VP6,136376.0
ENSP00000234454,P35270,28048.0
ENSP00000306330,P61981,28303.0
ENSP00000222968,Q13442,20630.0
ENSP00000297258,Q01469,15164.0
ENSP00000353224,P02786,84871.0
ENSP00000450909,Q9GZT3,12349.0
ENSP00000367615,P07741,19608.0
ENSP00000357048,P53621,138346.0
ENSP00000262265,Q9NWS0,32363.0
ENSP00000311747,Q96PK6,69492.0
ENSP00000477590,O75131,60131.0
ENSP00000265056,P49736,101896.0
ENSP00000354532,P00491,32118.0
ENSP00000377471,Q9BR76,54235.0
ENSP00000473172,Q9Y230,51157.0
ENSP00000256319,Q9UKR5,15864.0
ENSP00000287295,O95831,66901.0
ENSP00000434142,Q16890,22449.0
ENSP00000216254,Q99798,85425.0
ENSP00000264156,Q14566,92889.0
ENSP00000264933,O75340,21868.0
ENSP00000222388,,72442.8788
ENSP00000301764,Q16531,126968.0
ENSP00000369081,Q8NBS9,47629.0
ENSP00000381216,Q92945,73115.0
ENSP00000225726,Q96A33,55874.0
ENSP00000231572,P54136,75379.0
ENSP00000391723,Q14671,126473.0
ENSP00000410339,O96008,37893.0
ENSP00000345656,Q9P0L0,27893.0
ENSP00000316950,A0A0A0MR39,64150.0
ENSP00000310491,Q07960,50436.0
ENSP00000250559,P61224,20825.0
ENSP00000401564,F6WQW2,31904.0
ENSP00000370589,O00567,66050.0
ENSP00000348838,O00762,19652.0
ENSP00000398131,P15170,55756.0
ENSP00000270586,P28072,25358.0
ENSP00000368970,P61960,9118.0
ENSP00000355315,P62891,6407.0
ENSP00000365576,Q9UMX0,62519.0
ENSP00000358737,P24539,28909.0
ENSP00000436049,Q7L2H7,42503.0
ENSP00000262646,P61019,23546.0
ENSP00000364320,Q9UKD2,27560.0
ENSP00000253023,P61081,20900.0
ENSP00000314067,Q13177,58043.0
ENSP00000305790,Q15393,135577.0
ENSP00000444408,Q15758,56598.0
ENSP00000370023,P40939,83000.0
ENSP00000293362,P61289,29506.0
ENSP00000440045,P16615,114757.0
ENSP00000366156,P19623,33825.0
ENSP00000000233,P84085,20530.0
ENSP00000366326,O76041,116453.0
ENSP00000291552,Q01081,27872.0
ENSP00000369127,P31689,44868.0
ENSP00000222005,Q16543,44468.0
ENSP00000264279,Q9Y2X3,59578.0
ENSP00000310129,Q13200,100200.0
ENSP00000368699,,
ENSP00000232607,P11172,52222.0
ENSP00000267884,P37108,14570.0
ENSP00000310572,P62195,45626.0
ENSP00000385269,Q15717,36092.0
ENSP00000373312,P55735,35541.0
ENSP00000362946,P61106,23897.0
ENSP00000303356,Q7Z4W1,25913.0
ENSP00000261700,Q9Y224,28068.0
ENSP00000377833,P09525,35883.0
ENSP00000262105,P33991,96558.0
ENSP00000383118,P60953,21259.0
ENSP00000248342,Q9UBQ5,25060.0
ENSP00000392270,Q9Y3F4,38438.0
ENSP00000263864,Q9BV40,11438.0
ENSP00000472998,P08621,51557.0
ENSP00000353741,P62495,49031.0
ENSP00000346762,Q7KZF4,101997.0
ENSP00000216554,P55010,49223.0
ENSP00000360268,P54886,87302.0
ENSP00000054950,Q15293,38890.0
ENSP00000249923,P53618,107142.0
ENSP00000381237,Q8TCT9,41488.0
ENSP00000370745,Q92499,82432.0
ENSP00000273258,O75915,21615.0
ENSP00000225698,Q07021,31362.0
ENSP00000433999,P13489,49973.0
ENSP00000271688,Q96G23,44876.0
ENSP00000446955,P60660,16930.0
ENSP00000431984,P07384,81890.0
ENSP00000221138,P62714,35575.0
ENSP00000387710,P26639,83435.0
ENSP00000364585,Q9P258,56085.0
ENSP00000316042,Q13151,30841.0
ENSP00000477572,A0A087WT44,41669.0
ENSP00000240185,Q13148,44740.0
ENSP00000430494,P14927,13530.0
ENSP00000362937,P18754,44969.0
ENSP00000225576,Q96ET8,31105.0
ENSP00000444935,Q15102,25734.0
ENSP00000426119,P52943,22493.0
ENSP00000265729,P30626,21676.0
ENSP00000419628,Q9UKK9,24328.0
ENSP00000347495,P23381,53165.0
ENSP00000336741,O43143,90933.0
ENSP00000262225,Q15363,22761.0
ENSP00000246533,P04632,28316.0
ENSP00000362576,P54577,59143.0
ENSP00000340305,Q13404,16495.0
ENSP00000220849,P60228,52221.0
ENSP00000261875,Q9P035,43160.0
ENSP00000262812,O14579,34482.0
ENSP00000382269,Q9ULT8,289368.0
ENSP00000216121,Q9BPW8,33310.0
ENSP00000216034,Q9NS69,15522.0
ENSP00000329419,P35606,102487.0
ENSP00000219548,Q9UNE7,34856.0
ENSP00000298316,P62330,20082.0
ENSP00000394316,Q7L1Q6,48043.0
ENSP00000256854,O43776,62943.0
ENSP00000347717,Q9UBM7,54489.0
ENSP00000428223,Q9UNX3,17256.0
ENSP00000157812,P43686,47366.0
ENSP00000254322,P25685,38044.0
ENSP00000240922,Q9GZZ1,19398.0
ENSP00000362873,P51970,20105.0
ENSP00000399457,P39656,50801.0
ENSP00000386023,P41223,17000.0
ENSP00000391490,O95994,19979.0
ENSP00000388337,P60059,7741.0
ENSP00000402103,,
ENSP00000296412,P11766,39724.0
ENSP00000216181,P35579,226532.0
ENSP00000306397,P47985,29668.0
ENSP00000268182,P46940,189252.0
ENSP00000244020,Q13247,39587.0
ENSP00000356042,P15311,69413.0
ENSP00000304669,P35221,100071.0
ENSP00000429986,Q9NPA8,11529.0
ENSP00000248975,Q04917,28219.0
ENSP00000436455,P80303,50223.0
ENSP00000303992,Q9BTV4,44876.0
