string_external_id,abundance,ENSPID,UniProtID,MolecularWeight
9606.ENSP00000273075,245.0,ENSP00000273075,Q9ULA0,53410.0
9606.ENSP00000243253,244.0,ENSP00000243253,P61619,52265.0
9606.ENSP00000220966,243.0,ENSP00000220966,A0A0A0MQS1,29893.0
9606.ENSP00000369703,241.0,ENSP00000369703,Q13885,49907.0
9606.ENSP00000345445,241.0,ENSP00000345445,Q9Y512,51976.0
9606.ENSP00000367086,240.0,ENSP00000367086,O00154,41796.0
9606.ENSP00000361883,240.0,ENSP00000361883,Q01518,51901.0
9606.ENSP00000272067,239.0,ENSP00000272067,P24666,18042.0
9606.ENSP00000351250,239.0,ENSP00000351250,Q9UPN9,122533.0
9606.ENSP00000373487,239.0,ENSP00000373487,P05783,48058.0
9606.ENSP00000216214,238.0,ENSP00000216214,Q9NWS6,40269.0
9606.ENSP00000216780,238.0,ENSP00000216780,Q16822,70699.0
9606.ENSP00000247470,237.0,ENSP00000247470,Q9ULZ3,21627.0
9606.ENSP00000289316,237.0,ENSP00000289316,P58876,13936.0
9606.ENSP00000352738,237.0,ENSP00000352738,Q9UN86,54121.0
9606.ENSP00000385570,236.0,ENSP00000385570,Q05084,54645.0
9606.ENSP00000381992,236.0,ENSP00000381992,A0A024RA87,44842.0
9606.ENSP00000370223,236.0,ENSP00000370223,O43837,42184.0
9606.ENSP00000311449,235.0,ENSP00000311449,P20340,23593.0
9606.ENSP00000362592,233.0,ENSP00000362592,Q09028,47656.0
9606.ENSP00000483489,233.0,ENSP00000483489,Q9BV86,25387.0
9606.ENSP00000248553,232.0,ENSP00000248553,P04792,22783.0
9606.ENSP00000480987,231.0,ENSP00000480987,P25205,90981.0
9606.ENSP00000353401,231.0,ENSP00000353401,P39880,164187.0
9606.ENSP00000341289,230.0,ENSP00000341289,P68371,49831.0
9606.ENSP00000305692,230.0,ENSP00000305692,P10253,105324.0
9606.ENSP00000483491,230.0,ENSP00000483491,Q15070,48520.0
9606.ENSP00000395083,229.0,ENSP00000395083,P53367,41738.0
9606.ENSP00000306117,229.0,ENSP00000306117,Q9NUU7,53975.0
9606.ENSP00000297562,229.0,ENSP00000297562,,
9606.ENSP00000387911,229.0,ENSP00000387911,O95453,73451.0
9606.ENSP00000389445,229.0,ENSP00000389445,Q14157,114535.0
9606.ENSP00000432083,229.0,ENSP00000432083,P11142,70898.0
9606.ENSP00000261889,229.0,ENSP00000261889,Q13596,59070.0
9606.ENSP00000378669,228.0,ENSP00000378669,A0A2U3TZM8,28887.0
9606.ENSP00000263710,228.0,ENSP00000263710,Q7Z460,169451.0
9606.ENSP00000306881,227.0,ENSP00000306881,Q15436,86161.0
9606.ENSP00000432660,227.0,ENSP00000432660,P23528,18502.0
9606.ENSP00000379691,227.0,ENSP00000379691,Q6P996,86707.0
9606.ENSP00000345347,226.0,ENSP00000345347,P09429,24894.0
9606.ENSP00000370377,226.0,ENSP00000370377,Q5JRX3,117413.0
9606.ENSP00000254799,226.0,ENSP00000254799,Q12849,53126.0
9606.ENSP00000262746,226.0,ENSP00000262746,Q06830,22110.0
9606.ENSP00000365682,225.0,ENSP00000365682,Q04724,83201.0
9606.ENSP00000307940,225.0,ENSP00000307940,P13639,95338.0
9606.ENSP00000339566,225.0,ENSP00000339566,P16403,21365.0
9606.ENSP00000296930,225.0,ENSP00000296930,P06748,32575.0
9606.ENSP00000364361,225.0,ENSP00000364361,Q9NYL2,91155.0
9606.ENSP00000360671,224.0,ENSP00000360671,P05141,32852.0
9606.ENSP00000215754,224.0,ENSP00000215754,P14174,12476.0
9606.ENSP00000373620,224.0,ENSP00000373620,P10809,61055.0
9606.ENSP00000225655,224.0,ENSP00000225655,P07737,15054.0
9606.ENSP00000308275,223.0,ENSP00000308275,Q96DV4,44597.0
9606.ENSP00000346694,223.0,ENSP00000346694,P22626,37430.0
9606.ENSP00000429374,223.0,ENSP00000429374,P60866,13373.0
9606.ENSP00000324573,223.0,ENSP00000324573,Q13045,144751.0
9606.ENSP00000379888,223.0,ENSP00000379888,P62241,24205.0
9606.ENSP00000348099,223.0,ENSP00000348099,Q9NR12,49845.0
9606.ENSP00000331901,223.0,ENSP00000331901,P26641,50119.0
9606.ENSP00000330074,223.0,ENSP00000330074,P16401,22580.0
9606.ENSP00000346050,222.0,ENSP00000346050,P61247,29945.0
9606.ENSP00000389103,222.0,ENSP00000389103,P62750,17695.0
9606.ENSP00000322419,222.0,ENSP00000322419,P05387,11665.0
9606.ENSP00000380413,222.0,ENSP00000380413,Q96P47,95044.0
9606.ENSP00000446215,222.0,ENSP00000446215,P62826,24423.0
9606.ENSP00000379287,222.0,ENSP00000379287,P63104,27745.0
9606.ENSP00000270625,222.0,ENSP00000270625,P62280,18431.0
9606.ENSP00000233893,222.0,ENSP00000233893,P61604,10932.0
9606.ENSP00000300026,222.0,ENSP00000300026,P23284,23743.0
9606.ENSP00000464813,222.0,ENSP00000464813,P61353,15798.0
9606.ENSP00000309830,222.0,ENSP00000309830,P63173,8218.0
9606.ENSP00000472469,222.0,ENSP00000472469,P62857,7841.0
9606.ENSP00000362744,222.0,ENSP00000362744,P62701,29598.0
9606.ENSP00000428085,221.0,ENSP00000428085,P62888,12784.0
9606.ENSP00000403172,221.0,ENSP00000403172,Q02878,32728.0
9606.ENSP00000447001,221.0,ENSP00000447001,Q07020,21634.0
9606.ENSP00000271638,221.0,ENSP00000271638,P31949,11740.0
9606.ENSP00000230050,221.0,ENSP00000230050,P25398,14515.0
9606.ENSP00000358327,221.0,ENSP00000358327,A0A0A0MRL7,43728.0
9606.ENSP00000293217,221.0,ENSP00000293217,Q15067,74424.0
9606.ENSP00000445175,221.0,ENSP00000445175,,
9606.ENSP00000385958,221.0,ENSP00000385958,P62263,16273.0
9606.ENSP00000346037,221.0,ENSP00000346037,P05386,11514.0
9606.ENSP00000259469,220.0,ENSP00000259469,P42766,14551.0
9606.ENSP00000360922,220.0,ENSP00000360922,O95793,63182.0
9606.ENSP00000278572,220.0,ENSP00000278572,P23396,26688.0
9606.ENSP00000292180,220.0,ENSP00000292180,Q8NFF5,65266.0
9606.ENSP00000251453,219.0,ENSP00000251453,P62249,16445.0
9606.ENSP00000311430,219.0,ENSP00000311430,P36578,47697.0
9606.ENSP00000363018,219.0,ENSP00000363018,P62906,24831.0
9606.ENSP00000346015,219.0,ENSP00000346015,P46776,16561.0
9606.ENSP00000464342,219.0,ENSP00000464342,Q9Y3U8,12254.0
9606.ENSP00000405574,219.0,ENSP00000405574,Q9BZK7,55595.0
9606.ENSP00000420311,219.0,ENSP00000420311,P62829,14865.0
9606.ENSP00000225430,219.0,ENSP00000225430,P84098,23466.0
9606.ENSP00000262030,218.0,ENSP00000262030,P06576,56560.0
9606.ENSP00000301522,218.0,ENSP00000301522,P32119,21892.0
9606.ENSP00000309334,218.0,ENSP00000309334,P61313,24146.0
9606.ENSP00000307889,218.0,ENSP00000307889,P26373,24261.0
9606.ENSP00000442688,218.0,ENSP00000442688,Q6N075,49765.0
9606.ENSP00000449328,217.0,ENSP00000449328,P05388,34274.0
9606.ENSP00000426909,217.0,ENSP00000426909,P63244,35077.0
9606.ENSP00000262584,217.0,ENSP00000262584,P62917,28025.0
9606.ENSP00000255194,217.0,ENSP00000255194,O00203,121320.0
9606.ENSP00000324173,217.0,ENSP00000324173,P11021,72333.0
9606.ENSP00000339095,217.0,ENSP00000339095,,
9606.ENSP00000440005,217.0,ENSP00000440005,,
9606.ENSP00000341885,217.0,ENSP00000341885,P15880,31324.0
9606.ENSP00000303427,217.0,ENSP00000303427,Q29RF7,150830.0
9606.ENSP00000346001,217.0,ENSP00000346001,P39023,46109.0
9606.ENSP00000467579,217.0,ENSP00000467579,Q969T9,28087.0
9606.ENSP00000412698,217.0,ENSP00000412698,Q96T76,113290.0
9606.ENSP00000217426,217.0,ENSP00000217426,P23526,47716.0
9606.ENSP00000434412,217.0,ENSP00000434412,P50454,46441.0
9606.ENSP00000219252,216.0,ENSP00000219252,P19387,31441.0
9606.ENSP00000346088,216.0,ENSP00000346088,P35268,14787.0
9606.ENSP00000264710,216.0,ENSP00000264710,P61026,22541.0
9606.ENSP00000470972,216.0,ENSP00000470972,P39019,16060.0
9606.ENSP00000463784,216.0,ENSP00000463784,P61254,17258.0
9606.ENSP00000373713,216.0,ENSP00000373713,Q9NTJ5,66967.0
9606.ENSP00000435777,216.0,ENSP00000435777,P62277,17222.0
9606.ENSP00000349428,216.0,ENSP00000349428,P26599,59633.0
9606.ENSP00000386717,216.0,ENSP00000386717,P62899,14463.0
9606.ENSP00000386458,216.0,ENSP00000386458,A0A7N4I394,112405.0
9606.ENSP00000261313,216.0,ENSP00000261313,P30086,21057.0
9606.ENSP00000273077,216.0,ENSP00000273077,Q8N490,42876.0
9606.ENSP00000400467,216.0,ENSP00000400467,P32969,21863.0
9606.ENSP00000358548,216.0,ENSP00000358548,P01111,21229.0
9606.ENSP00000472985,216.0,ENSP00000472985,P46782,22876.0
9606.ENSP00000354739,216.0,ENSP00000354739,P30050,17819.0
9606.ENSP00000304592,215.0,ENSP00000304592,P49327,273427.0
9606.ENSP00000318646,215.0,ENSP00000318646,P62244,14840.0
9606.ENSP00000217182,215.0,ENSP00000217182,Q05639,50470.0
9606.ENSP00000264335,215.0,ENSP00000264335,P62258,29174.0
9606.ENSP00000379506,215.0,ENSP00000379506,P50914,23432.0
9606.ENSP00000258416,215.0,ENSP00000258416,O60573,28362.0
9606.ENSP00000359345,215.0,ENSP00000359345,P46777,34363.0
9606.ENSP00000377640,215.0,ENSP00000377640,P83731,17779.0
9606.ENSP00000357076,215.0,ENSP00000357076,P37802,22391.0
9606.ENSP00000369757,215.0,ENSP00000369757,P62753,28681.0
9606.ENSP00000416429,215.0,ENSP00000416429,P62910,15860.0
9606.ENSP00000363676,215.0,ENSP00000363676,P62913,20252.0
9606.ENSP00000361930,214.0,ENSP00000361930,P31946,28082.0
9606.ENSP00000482075,214.0,ENSP00000482075,A0A087WYT3,19155.0
9606.ENSP00000265333,214.0,ENSP00000265333,P21796,30773.0
9606.ENSP00000478310,214.0,ENSP00000478310,A0A5F9YFS9,11805.0
9606.ENSP00000346032,214.0,ENSP00000346032,P07355,38604.0
9606.ENSP00000379339,214.0,ENSP00000379339,P62273,6677.0
9606.ENSP00000359991,214.0,ENSP00000359991,P18669,28804.0
9606.ENSP00000375730,214.0,ENSP00000375730,P40429,23577.0
9606.ENSP00000318195,214.0,ENSP00000318195,P19338,76614.0
9606.ENSP00000349168,214.0,ENSP00000349168,P31943,49229.0
9606.ENSP00000310275,214.0,ENSP00000310275,O75531,10059.0
9606.ENSP00000351022,213.0,ENSP00000351022,P09493,32709.0
9606.ENSP00000264657,213.0,ENSP00000264657,P40763,88068.0
9606.ENSP00000353375,213.0,ENSP00000353375,P27816,121005.0
9606.ENSP00000381736,213.0,ENSP00000381736,P25705,59751.0
9606.ENSP00000221419,213.0,ENSP00000221419,P14866,64133.0
9606.ENSP00000325827,213.0,ENSP00000325827,O15027,251894.0
9606.ENSP00000363641,213.0,ENSP00000363641,P10599,11737.0
9606.ENSP00000252699,213.0,ENSP00000252699,O43707,104854.0
9606.ENSP00000322439,213.0,ENSP00000322439,P49411,49875.0
9606.ENSP00000297185,212.0,ENSP00000297185,P38646,73680.0
9606.ENSP00000001008,212.0,ENSP00000001008,Q02790,51805.0
9606.ENSP00000464087,212.0,ENSP00000464087,A0A0A0MTR7,591408.0
9606.ENSP00000299300,212.0,ENSP00000299300,P78371,57488.0
9606.ENSP00000305556,212.0,ENSP00000305556,Q15365,37498.0
9606.ENSP00000397798,212.0,ENSP00000397798,,
9606.ENSP00000351646,212.0,ENSP00000351646,P31948,62639.0
9606.ENSP00000225972,212.0,ENSP00000225972,Q96AG4,34930.0
9606.ENSP00000359225,212.0,ENSP00000359225,Q15417,36414.0
9606.ENSP00000357693,212.0,ENSP00000357693,Q96FQ6,11801.0
9606.ENSP00000222247,212.0,ENSP00000222247,Q02543,20762.0
9606.ENSP00000342026,212.0,ENSP00000342026,P30041,25035.0
9606.ENSP00000479606,212.0,ENSP00000479606,,
9606.ENSP00000357688,212.0,ENSP00000357688,,
9606.ENSP00000419117,212.0,ENSP00000419117,,
9606.ENSP00000451080,211.0,ENSP00000451080,P84090,12259.0
9606.ENSP00000405573,211.0,ENSP00000405573,A0A2U3TZU2,67286.0
9606.ENSP00000327801,211.0,ENSP00000327801,P07237,57116.0
9606.ENSP00000358417,211.0,ENSP00000358417,A0A2C9F2M7,56112.0
9606.ENSP00000481646,211.0,ENSP00000481646,P46783,18898.0
9606.ENSP00000296674,211.0,ENSP00000296674,P62266,15808.0
9606.ENSP00000265462,211.0,ENSP00000265462,P30044,22086.0
9606.ENSP00000400906,211.0,ENSP00000400906,P68036,17862.0
9606.ENSP00000414321,211.0,ENSP00000414321,P62847,15423.0
9606.ENSP00000297440,211.0,ENSP00000297440,Q86Y56,93521.0
9606.ENSP00000479488,211.0,ENSP00000479488,P35232,29804.0
9606.ENSP00000342374,211.0,ENSP00000342374,P62316,13527.0
9606.ENSP00000215909,211.0,ENSP00000215909,P09382,14716.0
9606.ENSP00000377958,211.0,ENSP00000377958,P50991,57924.0
9606.ENSP00000378163,211.0,ENSP00000378163,P49207,13293.0
9606.ENSP00000228318,210.0,ENSP00000228318,Q00325,40095.0
9606.ENSP00000376056,210.0,ENSP00000376056,P24534,24764.0
9606.ENSP00000280326,210.0,ENSP00000280326,P48643,59671.0
9606.ENSP00000444856,210.0,ENSP00000444856,A0A0A0MTN0,88506.0
9606.ENSP00000296503,210.0,ENSP00000296503,P26583,24034.0
9606.ENSP00000242776,210.0,ENSP00000242776,O00148,49130.0
9606.ENSP00000346027,210.0,ENSP00000346027,P46778,18565.0
9606.ENSP00000271308,210.0,ENSP00000271308,P28066,26411.0
9606.ENSP00000352257,210.0,ENSP00000352257,P12956,69843.0
9606.ENSP00000359910,210.0,ENSP00000359910,O14818,27887.0
9606.ENSP00000263780,210.0,ENSP00000263780,Q9UQN3,23907.0
9606.ENSP00000261479,210.0,ENSP00000261479,P60900,27399.0
9606.ENSP00000345848,210.0,ENSP00000345848,Q92688,28788.0
9606.ENSP00000265062,210.0,ENSP00000265062,P51149,23490.0
9606.ENSP00000351108,210.0,ENSP00000351108,Q99729,36225.0
9606.ENSP00000418868,210.0,ENSP00000418868,P47914,17752.0
9606.ENSP00000286788,209.0,ENSP00000286788,P50990,59621.0
9606.ENSP00000295688,209.0,ENSP00000295688,P49368,60534.0
9606.ENSP00000350071,209.0,ENSP00000350071,Q13033,87209.0
9606.ENSP00000261366,209.0,ENSP00000261366,P20700,66408.0
9606.ENSP00000354511,209.0,ENSP00000354511,P21964,30037.0
9606.ENSP00000216605,209.0,ENSP00000216605,,
9606.ENSP00000449089,209.0,ENSP00000449089,O00429,81877.0
9606.ENSP00000236671,209.0,ENSP00000236671,P07339,44552.0
9606.ENSP00000044462,209.0,ENSP00000044462,P25789,29484.0
9606.ENSP00000283179,209.0,ENSP00000283179,A0A1X7SBS1,81795.0
9606.ENSP00000223641,209.0,ENSP00000223641,P60468,9974.0
9606.ENSP00000321259,209.0,ENSP00000321259,P37837,37540.0
9606.ENSP00000276079,209.0,ENSP00000276079,Q15233,54232.0
9606.ENSP00000361471,209.0,ENSP00000361471,P00966,46530.0
9606.ENSP00000385385,209.0,ENSP00000385385,Q15084,48121.0
9606.ENSP00000419449,209.0,ENSP00000419449,P41567,12732.0
9606.ENSP00000300289,208.0,ENSP00000300289,P30101,56782.0
9606.ENSP00000296511,208.0,ENSP00000296511,P08758,35937.0
9606.ENSP00000457513,208.0,ENSP00000457513,P13073,19577.0
9606.ENSP00000342056,208.0,ENSP00000342056,O75390,51712.0
9606.ENSP00000002165,208.0,ENSP00000002165,Q9BTY2,54067.0
9606.ENSP00000355011,208.0,ENSP00000355011,Q12905,43062.0
9606.ENSP00000360034,208.0,ENSP00000360034,Q8NC51,44965.0
9606.ENSP00000247461,208.0,ENSP00000247461,P27824,67568.0
9606.ENSP00000467466,208.0,ENSP00000467466,P62841,17040.0
9606.ENSP00000246069,208.0,ENSP00000246069,P60981,18506.0
9606.ENSP00000354522,208.0,ENSP00000354522,P11387,90726.0
9606.ENSP00000452909,208.0,ENSP00000452909,P46779,15748.0
9606.ENSP00000371267,208.0,ENSP00000371267,P27348,27764.0
9606.ENSP00000219169,208.0,ENSP00000219169,P61970,14478.0
9606.ENSP00000435370,208.0,ENSP00000435370,P62861,14390.0
9606.ENSP00000299767,208.0,ENSP00000299767,P14625,92469.0
9606.ENSP00000372155,208.0,ENSP00000372155,Q06323,28723.0
9606.ENSP00000362820,208.0,ENSP00000362820,P84103,19330.0
9606.ENSP00000466134,208.0,ENSP00000466134,K7ELL7,60192.0
9606.ENSP00000382840,208.0,ENSP00000382840,A0A2U3TZJ9,73214.0
9606.ENSP00000414982,208.0,ENSP00000414982,Q07866,65310.0
9606.ENSP00000263368,208.0,ENSP00000263368,P30043,22119.0
9606.ENSP00000361635,208.0,ENSP00000361635,P45880,31567.0
9606.ENSP00000355599,207.0,ENSP00000355599,Q99598,33112.0
9606.ENSP00000339720,207.0,ENSP00000339720,O00483,9370.0
9606.ENSP00000216479,207.0,ENSP00000216479,O95433,38274.0
9606.ENSP00000351777,207.0,ENSP00000351777,P55072,89322.0
9606.ENSP00000286091,207.0,ENSP00000286091,A0A499FI48,73061.0
9606.ENSP00000304229,207.0,ENSP00000304229,P49773,13802.0
9606.ENSP00000313199,207.0,ENSP00000313199,Q14103,38434.0
9606.ENSP00000263713,207.0,ENSP00000263713,Q9HCM4,81856.0
9606.ENSP00000313007,207.0,ENSP00000313007,P11940,70671.0
9606.ENSP00000310226,207.0,ENSP00000310226,Q9H0U4,22171.0
9606.ENSP00000325905,207.0,ENSP00000325905,Q16629,27367.0
9606.ENSP00000298556,207.0,ENSP00000298556,P00492,24579.0
9606.ENSP00000272348,207.0,ENSP00000272348,P62308,8496.0
9606.ENSP00000336687,207.0,ENSP00000336687,Q13185,20811.0
9606.ENSP00000318687,207.0,ENSP00000318687,Q92598,96865.0
9606.ENSP00000477781,207.0,ENSP00000477781,A0A0B4J2C3,22574.0
9606.ENSP00000371958,207.0,ENSP00000371958,P21926,25416.0
